Size,Function,Min,Average,Max
1000,0_p6_auto_removingduplicates_strategy,0.0012423000007402152,0.0022870914999293746,0.006961400002182927
5000,0_p6_auto_removingduplicates_strategy,0.013415699999313802,0.0213770642999516,0.03672039999946719
10000,0_p6_auto_removingduplicates_strategy,0.028134399999544257,0.036406016700024336,0.0643755000019155
1000,1_p6_auto_removingduplicates_strategy,0.0012473999995563645,0.004856725600006029,0.009391100000357255
5000,1_p6_auto_removingduplicates_strategy,0.018075599997246172,0.031195454199929373,0.042259500001819106
10000,1_p6_auto_removingduplicates_strategy,0.029109899998729816,0.05723241339998275,0.0954042000012123
1000,2_p6_auto_removingduplicates_strategy,0.0012348000018391758,0.0013577426000229026,0.0028688000020338222
5000,2_p6_auto_removingduplicates_strategy,0.0180324999964796,0.01896472859994901,0.024558500001148786
10000,2_p6_auto_removingduplicates_strategy,0.029027100001258077,0.030525556299999153,0.03609830000277725
1000,3_p6_auto_removingduplicates_strategy,0.0012117000005673617,0.0032322189999795226,0.010267399997246685
5000,3_p6_auto_removingduplicates_strategy,0.017822499998146668,0.02603102980008771,0.04358160000265343
10000,3_p6_auto_removingduplicates_strategy,0.02900239999871701,0.04481958950009722,0.07253190000119503
